25-08-17 01:08:30:584 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [net.engineeringdigest.journalApp.JournalAppApplicationTests], using SpringBootContextLoader
25-08-17 01:08:34:663 [main] INFO  org.mongodb.driver.cluster - No server chosen by com.mongodb.client.internal.MongoClientDelegate$1@113f9078 from cluster description ClusterDescription{type=REPLICA_SET, connectionMode=MULTIPLE, serverDescriptions=[ServerDescription{address=ac-0rtaqwp-shard-00-01.dppopie.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, ServerDescription{address=ac-0rtaqwp-shard-00-02.dppopie.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, ServerDescription{address=ac-0rtaqwp-shard-00-00.dppopie.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}]}. Waiting for 30000 ms before timing out
25-08-17 01:08:35:581 [cluster-rtt-ClusterId{value='68a0de39b60458412fdb9474', description='null'}-ac-0rtaqwp-shard-00-01.dppopie.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:6, serverValue:85221}] to ac-0rtaqwp-shard-00-01.dppopie.mongodb.net:27017
25-08-17 01:08:35:581 [cluster-rtt-ClusterId{value='68a0de39b60458412fdb9474', description='null'}-ac-0rtaqwp-shard-00-02.dppopie.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:5, serverValue:95671}] to ac-0rtaqwp-shard-00-02.dppopie.mongodb.net:27017
25-08-17 01:08:35:581 [cluster-rtt-ClusterId{value='68a0de39b60458412fdb9474', description='null'}-ac-0rtaqwp-shard-00-00.dppopie.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:3, serverValue:90488}] to ac-0rtaqwp-shard-00-00.dppopie.mongodb.net:27017
25-08-17 01:08:35:581 [cluster-ClusterId{value='68a0de39b60458412fdb9474', description='null'}-ac-0rtaqwp-shard-00-01.dppopie.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:2, serverValue:85221}] to ac-0rtaqwp-shard-00-01.dppopie.mongodb.net:27017
25-08-17 01:08:35:581 [cluster-ClusterId{value='68a0de39b60458412fdb9474', description='null'}-ac-0rtaqwp-shard-00-02.dppopie.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:4, serverValue:95647}] to ac-0rtaqwp-shard-00-02.dppopie.mongodb.net:27017
25-08-17 01:08:35:581 [cluster-ClusterId{value='68a0de39b60458412fdb9474', description='null'}-ac-0rtaqwp-shard-00-00.dppopie.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:1, serverValue:90488}] to ac-0rtaqwp-shard-00-00.dppopie.mongodb.net:27017
25-08-17 01:08:35:583 [cluster-ClusterId{value='68a0de39b60458412fdb9474', description='null'}-ac-0rtaqwp-shard-00-02.dppopie.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-0rtaqwp-shard-00-02.dppopie.mongodb.net:27017, type=REPLICA_SET_PRIMARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=735746000, setName='atlas-69eacf-shard-0', canonicalAddress=ac-0rtaqwp-shard-00-02.dppopie.mongodb.net:27017, hosts=[ac-0rtaqwp-shard-00-02.dppopie.mongodb.net:27017, ac-0rtaqwp-shard-00-01.dppopie.mongodb.net:27017, ac-0rtaqwp-shard-00-00.dppopie.mongodb.net:27017], passives=[], arbiters=[], primary='ac-0rtaqwp-shard-00-02.dppopie.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az2'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=7fffffff0000000000000049, setVersion=22, topologyVersion=TopologyVersion{processId=689ba35f03539374cc43e5a8, counter=6}, lastWriteDate=Sun Aug 17 01:08:32 IST 2025, lastUpdateTimeNanos=48441322611600}
25-08-17 01:08:35:583 [cluster-ClusterId{value='68a0de39b60458412fdb9474', description='null'}-ac-0rtaqwp-shard-00-01.dppopie.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-0rtaqwp-shard-00-01.dppopie.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=735753400, setName='atlas-69eacf-shard-0', canonicalAddress=ac-0rtaqwp-shard-00-01.dppopie.mongodb.net:27017, hosts=[ac-0rtaqwp-shard-00-02.dppopie.mongodb.net:27017, ac-0rtaqwp-shard-00-01.dppopie.mongodb.net:27017, ac-0rtaqwp-shard-00-00.dppopie.mongodb.net:27017], passives=[], arbiters=[], primary='ac-0rtaqwp-shard-00-02.dppopie.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az3'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=22, topologyVersion=TopologyVersion{processId=689ba662bfda6e83a70ef378, counter=3}, lastWriteDate=Sun Aug 17 01:08:32 IST 2025, lastUpdateTimeNanos=48441322612300}
25-08-17 01:08:35:583 [cluster-ClusterId{value='68a0de39b60458412fdb9474', description='null'}-ac-0rtaqwp-shard-00-00.dppopie.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-0rtaqwp-shard-00-00.dppopie.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=735747700, setName='atlas-69eacf-shard-0', canonicalAddress=ac-0rtaqwp-shard-00-00.dppopie.mongodb.net:27017, hosts=[ac-0rtaqwp-shard-00-02.dppopie.mongodb.net:27017, ac-0rtaqwp-shard-00-01.dppopie.mongodb.net:27017, ac-0rtaqwp-shard-00-00.dppopie.mongodb.net:27017], passives=[], arbiters=[], primary='ac-0rtaqwp-shard-00-02.dppopie.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az1'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=22, topologyVersion=TopologyVersion{processId=689ba075d0fd5e5ce9bf4751, counter=4}, lastWriteDate=Sun Aug 17 01:08:32 IST 2025, lastUpdateTimeNanos=48441322611500}
25-08-17 01:08:35:590 [cluster-ClusterId{value='68a0de39b60458412fdb9474', description='null'}-ac-0rtaqwp-shard-00-02.dppopie.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Setting max election id to 7fffffff0000000000000049 from replica set primary ac-0rtaqwp-shard-00-02.dppopie.mongodb.net:27017
25-08-17 01:08:35:590 [cluster-ClusterId{value='68a0de39b60458412fdb9474', description='null'}-ac-0rtaqwp-shard-00-02.dppopie.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Setting max set version to 22 from replica set primary ac-0rtaqwp-shard-00-02.dppopie.mongodb.net:27017
25-08-17 01:08:35:590 [cluster-ClusterId{value='68a0de39b60458412fdb9474', description='null'}-ac-0rtaqwp-shard-00-02.dppopie.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Discovered replica set primary ac-0rtaqwp-shard-00-02.dppopie.mongodb.net:27017
25-08-17 01:08:36:323 [main] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:7, serverValue:95647}] to ac-0rtaqwp-shard-00-02.dppopie.mongodb.net:27017
25-08-17 01:08:37:547 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@5f0677f3, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@9d99851, org.springframework.security.web.context.SecurityContextPersistenceFilter@20b829d5, org.springframework.security.web.header.HeaderWriterFilter@57e4b86c, org.springframework.security.web.authentication.logout.LogoutFilter@b428830, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@1736c1e4, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@5280688, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@68fc9167, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@4cd7d5e1, org.springframework.security.web.session.SessionManagementFilter@589dfa6f, org.springframework.security.web.access.ExceptionTranslationFilter@3f3c8b60, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@7d88fa9c]
25-08-17 01:08:38:628 [main] INFO  n.e.j.JournalAppApplicationTests - Started JournalAppApplicationTests in 7.547 seconds (JVM running for 9.338)
25-08-17 01:08:39:015 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [net.engineeringdigest.journalApp.Repository.UserRepositoryImplTest], using SpringBootContextLoader
25-08-17 01:08:39:018 [main] INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [net.engineeringdigest.journalApp.Repository.UserRepositoryImplTest]: no resource found for suffixes {-context.xml, Context.groovy}.
25-08-17 01:08:39:018 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [net.engineeringdigest.journalApp.Repository.UserRepositoryImplTest]: UserRepositoryImplTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
25-08-17 01:08:39:058 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration net.engineeringdigest.journalApp.JournalAppApplication for test class net.engineeringdigest.journalApp.Repository.UserRepositoryImplTest
25-08-17 01:08:39:062 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
25-08-17 01:08:39:072 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@12270a01, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@4552f905, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@646d58cd, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@388e4c25, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@12532e37, org.springframework.test.context.support.DirtiesContextTestExecutionListener@401b67a9, org.springframework.test.context.transaction.TransactionalTestExecutionListener@4e3ee457, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@41b66d1, org.springframework.test.context.event.EventPublishingTestExecutionListener@fb2c2f3, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@148fca83, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@2d2a8819, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@72585e83, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@6b64bf61, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@1d5bb5c, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@7846913f]
25-08-17 01:08:39:853 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [net.engineeringdigest.journalApp.service.UserServiceTests], using SpringBootContextLoader
25-08-17 01:08:39:854 [main] INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [net.engineeringdigest.journalApp.service.UserServiceTests]: no resource found for suffixes {-context.xml, Context.groovy}.
25-08-17 01:08:39:854 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [net.engineeringdigest.journalApp.service.UserServiceTests]: UserServiceTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
25-08-17 01:08:39:882 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration net.engineeringdigest.journalApp.JournalAppApplication for test class net.engineeringdigest.journalApp.service.UserServiceTests
25-08-17 01:08:39:885 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
25-08-17 01:08:39:886 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@44948ac6, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@4fc256ec, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@3bc3d70e, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@78bce1c4, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@189e96af, org.springframework.test.context.support.DirtiesContextTestExecutionListener@45b6c666, org.springframework.test.context.transaction.TransactionalTestExecutionListener@60e80279, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@7fc56d61, org.springframework.test.context.event.EventPublishingTestExecutionListener@1382a7d8, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@6074d638, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@402feb85, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@14d53884, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@126ff1a1, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@546c30c2, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@6ba08a09]
