25-08-15 16:24:02:110 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@395281c2, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@41d20f06, org.springframework.security.web.context.SecurityContextPersistenceFilter@19faedcc, org.springframework.security.web.header.HeaderWriterFilter@53ba1175, org.springframework.security.web.authentication.logout.LogoutFilter@37cfda1c, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@53dba9cd, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@5ef2cbe6, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@ec5f944, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@3e753289, org.springframework.security.web.session.SessionManagementFilter@7dd91ffc, org.springframework.security.web.access.ExceptionTranslationFilter@374b6e33, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@5cffec7]
25-08-15 16:24:13:381 [main] INFO  org.mongodb.driver.client - MongoClient with metadata {"driver": {"name": "mongo-java-driver|sync|spring-boot", "version": "4.6.1"}, "os": {"type": "Windows", "name": "Windows 10", "architecture": "amd64", "version": "10.0"}, "platform": "Java/Azul Systems, Inc./21.0.8+9-LTS"} created with settings MongoClientSettings{readPreference=primary, writeConcern=WriteConcern{w=majority, wTimeout=null ms, journal=null}, retryWrites=true, retryReads=true, readConcern=ReadConcern{level=null}, credential=MongoCredential{mechanism=null, userName='jayeshpatil1098', source='admin', password=<hidden>, mechanismProperties=<hidden>}, streamFactoryFactory=null, commandListeners=[], codecRegistry=ProvidersCodecRegistry{codecProviders=[ValueCodecProvider{}, BsonValueCodecProvider{}, DBRefCodecProvider{}, DBObjectCodecProvider{}, DocumentCodecProvider{}, IterableCodecProvider{}, MapCodecProvider{}, GeoJsonCodecProvider{}, GridFSFileCodecProvider{}, Jsr310CodecProvider{}, JsonObjectCodecProvider{}, BsonCodecProvider{}, EnumCodecProvider{}, com.mongodb.Jep395RecordCodecProvider@715f45c6]}, clusterSettings={hosts=[127.0.0.1:27017], srvHost=journalcluster.dppopie.mongodb.net, srvServiceName=mongodb, mode=MULTIPLE, requiredClusterType=REPLICA_SET, requiredReplicaSetName='atlas-69eacf-shard-0', serverSelector='null', clusterListeners='[]', serverSelectionTimeout='30000 ms', localThreshold='30000 ms'}, socketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=0, receiveBufferSize=0, sendBufferSize=0}, heartbeatSocketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=10000, receiveBufferSize=0, sendBufferSize=0}, connectionPoolSettings=ConnectionPoolSettings{maxSize=100, minSize=0, maxWaitTimeMS=120000, maxConnectionLifeTimeMS=0, maxConnectionIdleTimeMS=0, maintenanceInitialDelayMS=0, maintenanceFrequencyMS=60000, connectionPoolListeners=[], maxConnecting=2}, serverSettings=ServerSettings{heartbeatFrequencyMS=10000, minHeartbeatFrequencyMS=500, serverListeners='[]', serverMonitorListeners='[]'}, sslSettings=SslSettings{enabled=true, invalidHostNameAllowed=false, context=null}, applicationName='null', compressorList=[], uuidRepresentation=JAVA_LEGACY, serverApi=null, autoEncryptionSettings=null, contextProvider=null}
25-08-15 16:24:13:442 [cluster-ClusterId{value='689f11d5f5dc7446a637dac0', description='null'}-srv-journalcluster.dppopie.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-0rtaqwp-shard-00-02.dppopie.mongodb.net:27017 to client view of cluster
25-08-15 16:24:13:478 [cluster-ClusterId{value='689f11d5f5dc7446a637dac0', description='null'}-srv-journalcluster.dppopie.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-0rtaqwp-shard-00-00.dppopie.mongodb.net:27017 to client view of cluster
25-08-15 16:24:13:480 [cluster-ClusterId{value='689f11d5f5dc7446a637dac0', description='null'}-srv-journalcluster.dppopie.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-0rtaqwp-shard-00-01.dppopie.mongodb.net:27017 to client view of cluster
25-08-15 16:24:14:116 [main] INFO  org.mongodb.driver.cluster - No server chosen by com.mongodb.client.internal.MongoClientDelegate$1@33324c05 from cluster description ClusterDescription{type=REPLICA_SET, connectionMode=MULTIPLE, serverDescriptions=[ServerDescription{address=ac-0rtaqwp-shard-00-01.dppopie.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, ServerDescription{address=ac-0rtaqwp-shard-00-02.dppopie.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, ServerDescription{address=ac-0rtaqwp-shard-00-00.dppopie.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}]}. Waiting for 30000 ms before timing out
25-08-15 16:24:14:693 [cluster-ClusterId{value='689f11d5f5dc7446a637dac0', description='null'}-ac-0rtaqwp-shard-00-00.dppopie.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:6, serverValue:61610}] to ac-0rtaqwp-shard-00-00.dppopie.mongodb.net:27017
25-08-15 16:24:14:694 [cluster-rtt-ClusterId{value='689f11d5f5dc7446a637dac0', description='null'}-ac-0rtaqwp-shard-00-00.dppopie.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:2, serverValue:61610}] to ac-0rtaqwp-shard-00-00.dppopie.mongodb.net:27017
25-08-15 16:24:14:694 [cluster-rtt-ClusterId{value='689f11d5f5dc7446a637dac0', description='null'}-ac-0rtaqwp-shard-00-01.dppopie.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:4, serverValue:56745}] to ac-0rtaqwp-shard-00-01.dppopie.mongodb.net:27017
25-08-15 16:24:14:694 [cluster-rtt-ClusterId{value='689f11d5f5dc7446a637dac0', description='null'}-ac-0rtaqwp-shard-00-02.dppopie.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:3, serverValue:64427}] to ac-0rtaqwp-shard-00-02.dppopie.mongodb.net:27017
25-08-15 16:24:14:693 [cluster-ClusterId{value='689f11d5f5dc7446a637dac0', description='null'}-ac-0rtaqwp-shard-00-02.dppopie.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:1, serverValue:64427}] to ac-0rtaqwp-shard-00-02.dppopie.mongodb.net:27017
25-08-15 16:24:14:693 [cluster-ClusterId{value='689f11d5f5dc7446a637dac0', description='null'}-ac-0rtaqwp-shard-00-01.dppopie.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:5, serverValue:56745}] to ac-0rtaqwp-shard-00-01.dppopie.mongodb.net:27017
25-08-15 16:24:14:694 [cluster-ClusterId{value='689f11d5f5dc7446a637dac0', description='null'}-ac-0rtaqwp-shard-00-00.dppopie.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-0rtaqwp-shard-00-00.dppopie.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=638039700, setName='atlas-69eacf-shard-0', canonicalAddress=ac-0rtaqwp-shard-00-00.dppopie.mongodb.net:27017, hosts=[ac-0rtaqwp-shard-00-02.dppopie.mongodb.net:27017, ac-0rtaqwp-shard-00-01.dppopie.mongodb.net:27017, ac-0rtaqwp-shard-00-00.dppopie.mongodb.net:27017], passives=[], arbiters=[], primary='ac-0rtaqwp-shard-00-02.dppopie.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az1'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=22, topologyVersion=TopologyVersion{processId=689ba075d0fd5e5ce9bf4751, counter=4}, lastWriteDate=Fri Aug 15 16:24:14 IST 2025, lastUpdateTimeNanos=12606432466000}
25-08-15 16:24:14:694 [cluster-ClusterId{value='689f11d5f5dc7446a637dac0', description='null'}-ac-0rtaqwp-shard-00-02.dppopie.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-0rtaqwp-shard-00-02.dppopie.mongodb.net:27017, type=REPLICA_SET_PRIMARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=637948500, setName='atlas-69eacf-shard-0', canonicalAddress=ac-0rtaqwp-shard-00-02.dppopie.mongodb.net:27017, hosts=[ac-0rtaqwp-shard-00-02.dppopie.mongodb.net:27017, ac-0rtaqwp-shard-00-01.dppopie.mongodb.net:27017, ac-0rtaqwp-shard-00-00.dppopie.mongodb.net:27017], passives=[], arbiters=[], primary='ac-0rtaqwp-shard-00-02.dppopie.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az2'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=7fffffff0000000000000049, setVersion=22, topologyVersion=TopologyVersion{processId=689ba35f03539374cc43e5a8, counter=6}, lastWriteDate=Fri Aug 15 16:24:14 IST 2025, lastUpdateTimeNanos=12606432466100}
25-08-15 16:24:14:694 [cluster-ClusterId{value='689f11d5f5dc7446a637dac0', description='null'}-ac-0rtaqwp-shard-00-01.dppopie.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-0rtaqwp-shard-00-01.dppopie.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=644712800, setName='atlas-69eacf-shard-0', canonicalAddress=ac-0rtaqwp-shard-00-01.dppopie.mongodb.net:27017, hosts=[ac-0rtaqwp-shard-00-02.dppopie.mongodb.net:27017, ac-0rtaqwp-shard-00-01.dppopie.mongodb.net:27017, ac-0rtaqwp-shard-00-00.dppopie.mongodb.net:27017], passives=[], arbiters=[], primary='ac-0rtaqwp-shard-00-02.dppopie.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az3'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=22, topologyVersion=TopologyVersion{processId=689ba662bfda6e83a70ef378, counter=3}, lastWriteDate=Fri Aug 15 16:24:14 IST 2025, lastUpdateTimeNanos=12606432466100}
25-08-15 16:24:14:701 [cluster-ClusterId{value='689f11d5f5dc7446a637dac0', description='null'}-ac-0rtaqwp-shard-00-02.dppopie.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Setting max election id to 7fffffff0000000000000049 from replica set primary ac-0rtaqwp-shard-00-02.dppopie.mongodb.net:27017
25-08-15 16:24:14:702 [cluster-ClusterId{value='689f11d5f5dc7446a637dac0', description='null'}-ac-0rtaqwp-shard-00-02.dppopie.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Setting max set version to 22 from replica set primary ac-0rtaqwp-shard-00-02.dppopie.mongodb.net:27017
25-08-15 16:24:14:702 [cluster-ClusterId{value='689f11d5f5dc7446a637dac0', description='null'}-ac-0rtaqwp-shard-00-02.dppopie.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Discovered replica set primary ac-0rtaqwp-shard-00-02.dppopie.mongodb.net:27017
25-08-15 16:24:15:484 [main] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:7, serverValue:64432}] to ac-0rtaqwp-shard-00-02.dppopie.mongodb.net:27017
25-08-15 16:24:49:837 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@69f9b561, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@7e8f23ad, org.springframework.security.web.context.SecurityContextPersistenceFilter@d84418a, org.springframework.security.web.header.HeaderWriterFilter@3688baab, org.springframework.security.web.authentication.logout.LogoutFilter@704d3b00, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@395281c2, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@ec5f944, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@9205c0a, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@7433ca19, org.springframework.security.web.session.SessionManagementFilter@5ef2cbe6, org.springframework.security.web.access.ExceptionTranslationFilter@16b64a03, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@31940704]
25-08-15 16:24:50:341 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
25-08-15 16:24:50:354 [main] INFO  n.e.journalApp.JournalAppApplication - Started JournalAppApplication in 42.16 seconds (JVM running for 43.791)
25-08-15 16:24:55:515 [main] INFO  n.e.journalApp.JournalAppApplication - Starting JournalAppApplication using Java 21.0.8 on v2mumlp0655 with PID 1032 (D:\journalApp\target\classes started by jayesh.patil in D:\journalApp)
25-08-15 16:24:55:519 [main] DEBUG n.e.journalApp.JournalAppApplication - Running with Spring Boot v2.7.18, Spring v5.3.31
25-08-15 16:24:55:521 [main] INFO  n.e.journalApp.JournalAppApplication - The following 1 profile is active: "dev"
25-08-15 16:24:56:791 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data MongoDB repositories in DEFAULT mode.
25-08-15 16:24:56:963 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 158 ms. Found 3 MongoDB repository interfaces.
25-08-15 16:24:58:135 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
25-08-15 16:24:58:152 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
25-08-15 16:24:58:158 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
25-08-15 16:24:58:160 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.83]
25-08-15 16:24:58:390 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
25-08-15 16:24:58:391 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2765 ms
25-08-15 16:24:59:118 [main] INFO  org.mongodb.driver.client - MongoClient with metadata {"driver": {"name": "mongo-java-driver|sync|spring-boot", "version": "4.6.1"}, "os": {"type": "Windows", "name": "Windows 10", "architecture": "amd64", "version": "10.0"}, "platform": "Java/Azul Systems, Inc./21.0.8+9-LTS"} created with settings MongoClientSettings{readPreference=primary, writeConcern=WriteConcern{w=majority, wTimeout=null ms, journal=null}, retryWrites=true, retryReads=true, readConcern=ReadConcern{level=null}, credential=MongoCredential{mechanism=null, userName='jayeshpatil1098', source='admin', password=<hidden>, mechanismProperties=<hidden>}, streamFactoryFactory=null, commandListeners=[], codecRegistry=ProvidersCodecRegistry{codecProviders=[ValueCodecProvider{}, BsonValueCodecProvider{}, DBRefCodecProvider{}, DBObjectCodecProvider{}, DocumentCodecProvider{}, IterableCodecProvider{}, MapCodecProvider{}, GeoJsonCodecProvider{}, GridFSFileCodecProvider{}, Jsr310CodecProvider{}, JsonObjectCodecProvider{}, BsonCodecProvider{}, EnumCodecProvider{}, com.mongodb.Jep395RecordCodecProvider@6f9ab79d]}, clusterSettings={hosts=[127.0.0.1:27017], srvHost=journalcluster.dppopie.mongodb.net, srvServiceName=mongodb, mode=MULTIPLE, requiredClusterType=REPLICA_SET, requiredReplicaSetName='atlas-69eacf-shard-0', serverSelector='null', clusterListeners='[]', serverSelectionTimeout='30000 ms', localThreshold='30000 ms'}, socketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=0, receiveBufferSize=0, sendBufferSize=0}, heartbeatSocketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=10000, receiveBufferSize=0, sendBufferSize=0}, connectionPoolSettings=ConnectionPoolSettings{maxSize=100, minSize=0, maxWaitTimeMS=120000, maxConnectionLifeTimeMS=0, maxConnectionIdleTimeMS=0, maintenanceInitialDelayMS=0, maintenanceFrequencyMS=60000, connectionPoolListeners=[], maxConnecting=2}, serverSettings=ServerSettings{heartbeatFrequencyMS=10000, minHeartbeatFrequencyMS=500, serverListeners='[]', serverMonitorListeners='[]'}, sslSettings=SslSettings{enabled=true, invalidHostNameAllowed=false, context=null}, applicationName='null', compressorList=[], uuidRepresentation=JAVA_LEGACY, serverApi=null, autoEncryptionSettings=null, contextProvider=null}
25-08-15 16:24:59:188 [cluster-ClusterId{value='689f120314aa2139c60c23a3', description='null'}-srv-journalcluster.dppopie.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-0rtaqwp-shard-00-02.dppopie.mongodb.net:27017 to client view of cluster
25-08-15 16:24:59:238 [cluster-ClusterId{value='689f120314aa2139c60c23a3', description='null'}-srv-journalcluster.dppopie.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-0rtaqwp-shard-00-00.dppopie.mongodb.net:27017 to client view of cluster
25-08-15 16:24:59:241 [cluster-ClusterId{value='689f120314aa2139c60c23a3', description='null'}-srv-journalcluster.dppopie.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-0rtaqwp-shard-00-01.dppopie.mongodb.net:27017 to client view of cluster
